Organization Group,Department,Total Compensation
Community Health,Public Health,96190.19013988337
Culture & Recreation,Academy of Sciences,107319.72769230764
Culture & Recreation,Arts Commission,94339.59738764049
Culture & Recreation,Asian Art Museum,71401.52006042292
Culture & Recreation,Fine Arts Museum,44205.43989478507
Culture & Recreation,Law Library,188424.36222222226
Culture & Recreation,Public Library,70446.35214706269
Culture & Recreation,Recreation and Park Commission,38912.85946523472
Culture & Recreation,War Memorial,76250.06802153424
General Administration & Finance,Assessor/Recorder,89994.26061397778
General Administration & Finance,Board of Supervisors,78801.34764132561
General Administration & Finance,City Attorney,166082.67756061695
General Administration & Finance,City Planning,89022.8769657348
General Administration & Finance,Civil Service Commission,67966.7565591398
General Administration & Finance,Controller,104515.23494400657
General Administration & Finance,Elections,20493.16661751947
General Administration & Finance,Ethics Commission,98631.38036585359
General Administration & Finance,General Services Agency - City Admin,86123.54760941172
General Administration & Finance,General Services Agency - Technology,110783.68015800406
General Administration & Finance,Health Service System,70016.07113737111
General Administration & Finance,Human Resources,69729.72273740686
General Administration & Finance,Mayor,110765.39133270306
General Administration & Finance,Retirement System,117717.65858902564
General Administration & Finance,Treasurer/Tax Collector,85449.25317039764
General City Responsibilities,General Fund Unallocated,15824.151304347846
Human Welfare & Neighborhood Development,Child Support Services,100044.07099747476
Human Welfare & Neighborhood Development,Children and Families Commission,96575.36619047617
Human Welfare & Neighborhood Development,"Children, Youth & Their Families",74304.93328358207
Human Welfare & Neighborhood Development,Community Investment & Infrastructure,42864.05653846155
Human Welfare & Neighborhood Development,Department of the Status of Women,47968.52290322582
Human Welfare & Neighborhood Development,Environment,75360.38745183896
Human Welfare & Neighborhood Development,Homelessness and Supportive Housing,40771.130277777775
Human Welfare & Neighborhood Development,Human Rights Commission,55672.50668269228
Human Welfare & Neighborhood Development,Human Services,65945.32768862965
Human Welfare & Neighborhood Development,Rent Arbitration Board,102181.79394101875
Public Protection,Adult Probation,100179.75876692802
Public Protection,Department of Emergency Management,127421.75279331954
Public Protection,District Attorney,141215.37855711428
Public Protection,Fire Department,180788.0869790997
Public Protection,Juvenile Probation,78586.82982313936
Public Protection,Police,141263.70172872092
Public Protection,Public Defender,147552.18573936485
Public Protection,Sheriff,140381.5905418726
Public Protection,Superior Court,99315.44936304333
"Public Works, Transportation & Commerce",Airport Commission,96191.57823387021
"Public Works, Transportation & Commerce",Board of Appeals,51990.634888888926
"Public Works, Transportation & Commerce",Department of Building Inspection,112051.61518248198
"Public Works, Transportation & Commerce",Economic and Workforce Development,106112.4094320486
"Public Works, Transportation & Commerce",General Services Agency - Public Works,89741.6825669156
"Public Works, Transportation & Commerce",Municipal Transportation Agency,99471.11182204461
"Public Works, Transportation & Commerce",PUC Clean Power,30940.464999999993
"Public Works, Transportation & Commerce",PUC Hetch Hetchy,105280.81533018874
"Public Works, Transportation & Commerce",PUC Public Utilities Commission,103433.58550627186
"Public Works, Transportation & Commerce",PUC Wastewater Enterprise,108963.58978630752
"Public Works, Transportation & Commerce",PUC Water Department,109806.58756692811
"Public Works, Transportation & Commerce",Port,112139.68001718225
