Job Family,Total Benefits,Total Compensation,Percent_Total_Benefit
Public Service Aide,17485.28129934881,50604.55042287343,34.552784588014845
Park & Zoo,26333.767788461548,78310.80913461537,33.62724517785802
Museum & Cultural Affairs,27037.39,83926.07,32.215722718816686
Revenue,25141.252187499995,79261.9925,31.719177621607226
Housekeeping & Laundry,27719.475614107847,89219.7552586446,31.068764461133263
Library,17164.58404761905,55383.650357142855,30.992150096522707
Dietary & Food,20612.575717703356,67273.8260526316,30.639814809369
"Clerical, Secretarial & Steno",23620.18109516973,77518.3805693417,30.47042639653833
Street Transit,32300.85741738417,106761.3784592524,30.255189548449334
Computer Operatns & Repro Svcs,25791.542405442167,85511.97814920636,30.16132121331535
Property Administration,27736.38666666667,92428.705,30.008412069244795
Semi-Skilled & General Labor,27289.166385113178,91472.17164149194,29.83329890982359
"Payroll, Billing & Accounting",31214.438894975745,104647.61188105325,29.828142595796024
Agriculture & Horticulture,30348.940594950116,102189.88427174551,29.698576146975142
Hospital Administration,31304.957199999968,105471.99951111112,29.68082272556338
Appraisal & Taxation,17273.536666666667,58263.88333333333,29.647074102223993
Personnel,28534.961402729376,97174.58364082452,29.364634592312676
Pub Relations & Spec Assts,27237.120277777776,92989.99805555555,29.290376220360116
Recreation,17952.00692857143,61696.83219714286,29.097129121975858
Purchasing & Storekeeping,29791.686135379063,102402.38198736442,29.09276674741326
Sub-Professional Engineering,32764.499645833333,113562.2711241988,28.85157131984445
"Budget, Admn & Stats Analysis",28280.106106837597,98734.45812179483,28.6425900792937
Human Services,30807.273168701573,108029.00812608522,28.51759328637462
Med Therapy & Auxiliary,29433.508482758625,103897.28512595793,28.32942982781067
SF Superior Court,13636.096666666666,48377.159999999996,28.187054938046526
Information Systems,28035.891503703722,99543.4243222222,28.16448368598563
Health & Sanitation Inspection,39790.81333333332,141769.44238095236,28.06727082018873
Airport Operation,34275.333004912536,122846.87324472892,27.900859093605963
Port Operation,33718.0095,121002.35650000001,27.86558086577429
Protection & Apprehension,31330.39098667204,113693.70946350993,27.556837695341045
Skilled Labor,31507.25627689887,116354.88497749552,27.07858486817529
Professional Engineering,33254.613335130256,122849.1115669362,27.069478086547637
Construction Inspection,34109.53727712672,126688.49372482645,26.923942557257245
Legal & Court,31302.724284722222,118248.98514583339,26.47187563268927
Journeyman Trade,35695.3854535784,135690.27889709847,26.306516386961075
Energy & Environment,22027.51875,84617.67499999999,26.03181752512108
Administrative-DPW/PUC,43550.636000000006,168673.98436363638,25.819414988212543
"Lab, Pharmacy & Med Techs",35821.2205311111,138951.10512777738,25.779730573693847
Probation & Parole,32473.54553221288,126463.7780392157,25.678139650503734
Public Safety Inspection,39700.143587004924,155789.8980623053,25.48313085815589
Supervisory-Labor & Trade,37750.396546734606,149836.40170284256,25.19440944771329
Management,42362.23099365082,169631.61616380955,24.973075156427523
Nursing,30331.120228081716,122282.12215875664,24.804214788408217
Administrative-Labor & Trades,41417.55206101193,174997.9439285713,23.667450674687515
Correction & Detention,35365.384115252615,151075.8988766111,23.409017836879954
Medical & Dental,41241.849333333324,181687.31433333334,22.69935547490608
Fire Services,40164.35143260863,193689.14502039857,20.736500968280218
Police Services,32812.08043049835,161002.60236583668,20.379844765453793
